listing_id,url,title,property_type,price,price_azn,location,address,rooms,area,floor,total_floors,description,features,agent_name,phone,date_posted,listing_code,view_count,has_document,is_credit_available,latitude,longitude,scraped_at
kucesi,https://arenda.az/satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-elmler-akademiyasi-metrosu-yasamal-rayonu-musteqillik-kucesi,Satılır Yeni Tikili,Yeni Tikili,171 157,171 157,"İnşaatçılar m., Yasamal qəs., Yasamal r.","Yasamal rayonu Müstəqillik küçəsi,",2,38,12,16,"HAZIR DAXİLİ İPOTEKA!! Yasamal rayonu Müstəqillik küçəsi, Kristal Abşeron Yasamal (3N’li Asan Xidmətin Arxası) Yeni tikili 16 mərtəbəli binanın 12 mərtəbəsində ümumi sahəsi 38.2kv olan 2 otaq studio tam təmirli, əşyalı, kupçalı mənzil satılır. Qaz su işıq daimidir. İstilik sistemi kombidir. Mənzilin ilkin ödənişi 27.000 manat, 10 illik ayda 1490 manat, 20 illik ayda 1190 manat ödəməklə bu mənzilə sahib ola bilərsiz. Rəsmi iş yeri mütləqdir!! Dövlət və ya özəl fərq etmir. Minimal əmək haqqı kifayət edir. Mənzilin nağd qiyməti 135.000 manatdır. Şirkətin ofis haqqı 1500 manat təşkil edir.",,Məhəmməd bəy (Vasitəçi),(077) 444-27-26,26.12.2025,4322009,418,Bəli,Bəli,40.37336527040737,49.835700083690874,2026-01-01T15:02:23.871100
1656,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1656,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.",Masazir,3,120,4,6,"Masazir qəsəbəsi qurtuluş 93 yaşayiş kompilekisində 6 mərtəbəli binanin 4- cü mərtəbəsində sahəsi 120 kv olan qanuni 3 otaqli mənzill satilir. Mənzilin döşəməsi. 1- ci növ parketdir. Bina kupcalidir. Məktəb, baxca, əyləncə parki binaya yaxin məsafədə yerləşir. Real aliciya endir olacaq. QEYİD MÜŞTƏRİ TƏRƏFİNDƏN OFİS XİDMƏT HAQQİ 1% TƏŞKİL EDİR",,Mehrac Quliyev (Vasitəçi),(050) 205-44-55,25.12.2025,5797153,100,Bəli,Bəli,40.37336527040737,49.835700083690874,2026-01-01T15:02:24.419220
34,https://arenda.az/satilir-2-otaqli-yeni-tikili-xetai-rayonu-xetai-metrosu-suleyman-vezirov-kuc-34,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.",Süleyman Vəzirov küç,2,80,15,16,"EKSKLÜZİV SATIŞ TƏKLİFİ – İDEAL MTK Şəhərin ən prestijli yaşayış komplekslərindən biri olan İdeal MTK-da, nadir tapılan, rahat planlaşdırmalı və keyfiyyətli 2 otaqlı mənzil satışa çıxarılıb. Həm yaşayış, həm də investisiya üçün ideal seçimdir. Mənzil haqqında məlumat: Ümumi sahə: 80 m² Otaq sayı: 2 Sənəd: Çıxarış (kupça) Qiymət: 230 000 AZN (Real alıcı ilə razılaşma mümkündür) Mənzil geniş və işıqlı otaqlara, funksional planlaşdırmaya malikdir. Böyük vitraj pəncərələr sayəsində gün işığı maksimum dərəcədə mənzilə daxil olur və açıq şəhər mənzərəsi rahatlıq hissi yaradır. Ümumi yaşayış mühiti yüksək səviyyədədir. Bina və kompleks üstünlükləri: Səliqəli və baxımlı blok Müasir lift sistemi Təhlükəsiz və rahat yaşayış mühiti Seçilmiş və sakit qonşuluq Ərazi infrastrukturu: Marketlər və ticarət obyektləri, məktəb və uşaq bağçaları, ictimai nəqliyyat xətləri və əsas yollar yaxın məsafədə yerləşir. Gündəlik yaşayış üçün lazım olan bütün infrastruktura rahat çıxış mövcuddur. Bu mənzil həm komfortlu həyat tərzi, həm də dəyərini qoruyan uğurlu investisiya üçün çox sərfəli təklifdir. Ətraflı məlumat və mənzilə baxış üçün əlaqə saxlayın. Bu tip təkliflər bazarda uzun müddət qalmır.","Təmirsiz, Qaz, Su, Lift, PVC pəncərə, Balkon",HomeVision (Vasitəçi),(099) 718-06-08,25.12.2025,8521225,217,Bəli,Bəli,40.38383435652962,49.87047158739996,2026-01-01T15:02:25.507008
4,https://arenda.az/kiraye-ayliq-3-otaqli-ofis-xetai-rayonu-8-noyabr-pr-4,Kirayə (aylıq) Ofis,Ofis,9 000,9 000,Nərimanov r.,8 Noyabr pr.,3,75,,,,,Xan Azəroğlu (Vasitəçi),(070) 799-66-00,25.12.2025,4237114,113,Xeyr,Xeyr,40.36933991643239,49.93733434768316,2026-01-01T15:02:25.720683
28,https://arenda.az/satilir-torpaq-xezer-rayonu-sagan-sagan-qes-28,Satılır Torpaq,Torpaq,140 000,140 000,"Şüvəlan, Xəzər r.",Sagan qes.,,,,,"Şagan qesebesinde cox prestijli bir yerde, şeherden uzu Merdekana gelende ""Access"" banki keçdikden sonra, yolun solunda, “Şagan Eliller Pansionati” ile uzbeuz, 4 terefi yasayis olan mehellede 5 sot torpaq sahesi satilir.Torpaq sahesi hasara alinib,qapisi qoyulub,yolu asfaltlidir. Etrafi yasayis evleri ve villalardir.Torpaq sahesi rahatliqla bolguye gedir.Sakit,rahat,prestijli bir mehelledir.Qazi,isiqi,icmeli suyu,telefonu,internet xetti daimidir.Senedleri tam qaydasindadir [kupca 5 sot].","Qaz, Su, İşıq",Rahat ev (Vasitəçi),(055) 231-81-00,26.12.2025,3710506,47,Bəli,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:26.246801
113,https://arenda.az/satilir-torpaq-xezer-rayonu-merdekan-merdekan-q-113,Satılır Torpaq,Torpaq,140 000,140 000,"Şüvəlan, Xəzər r.",Merdekan q.,,,,,"Merdekan qesebesinde cox prestijli bir yerde, seherden uzu Merdekana gelende, Merdekan korpusune qalxmamis yolun sag terefinde, merkezi magistral yoldan texminen 800-900 m iceride, yoldan 2-ci heyetde,4 sot torpaq sahesi satilir. Torpaq sahesi hasara alinib,qapisi qoyulub,yolu asfaltlidir. Etrafi yasayis evleri ve villalardir. Torpaq sahesi rahatliqla bolguye gedir.Sakit,rahat,prestijli bir mehelledir.Qazi,isiqi,icmeli suyu, telefon-internet xetti daimidir.Senedleri tam qaydasindadir [kupca 4 sota]. mehelledir.Qazi,isiqi,icmeli suyu, telefon-internet xetti daimidir.Senedleri tam qaydasindadir [kupca 12 sota]. QEYD:Torpaq sahesi 4-4-4 sot bolunerek satila biler. Qiymet:100 000 AZN.","Qaz, Su, İşıq",MƏRDƏKAN BAĞLARI (Vasitəçi),(055) 231-81-00,25.12.2025,7482055,64,Bəli,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:26.697941
1,https://arenda.az/satilir-1-otaqli-yeni-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-montin-qes-mayakovski-1,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.",Mayakovski,1,37,7,15,,,HomeVision Fərid (Vasitəçi),(050) 493-11-77,24.12.2025,8113770,159,Bəli,Bəli,40.39434682602342,49.87642638718013,2026-01-01T15:02:27.926539
sahil,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-suraxani-rayonu-3-cu-sahil,Satılır Həyət evi/villa,Həyət evi/villa,135 000,135 000,"Masazır, Abşeron r.",3-cü Sahil,3,100,,,"Suraxanı rayonu, Hövsan qəsəbəsinin ən prestij yerində, köhnə Embawudun yanınnda, sakitliyi və gözəl havası ilə fərqlənən 8 sotun (40*20) içində 3 kubiklə tikilmiş ümumi sahəsi 100 kv. m. olan təmirli həyət evi satılır. Evin 2 mətbəxi, 2 yataq və 1 qonaq otaqları var Sanitar qovşağı həyətdədir.Kanalizasiya sistemi mərkəzləşdirilmişdir Həyətin ətrafı daşla hasarlanmış və dəmir qarvaza qoyulmuşdur, müşahidə kamerası quraşdırılmışdır Həyətdə 70ə yaxın meyvə ağacları əkilib. Bağın suvarmasında quyudan istifadə edilir. Qaz, su və elektrik təchizatı daimidir Optik internet mövcuddur Evin arxasında 196 saylı orta məktəb, uşaq bağcası, 150 metr məsafədə market, 200 metrdə ""Araz"" supermarket, restoranlar və kafelər, 500 metrdə ""Hövsan Mall"", apteklər və başqa obyektlər fəaliyyət göstərirlər. Avtobuslar qəsəbənin daxilində və ətrafında işləyirlər Sənədi evə ÇIXARIŞDIR.","Təmirli, Qaz, Su, İşıq, İnternet, Balkon, Mətbəx mebeli",Alyans Əmlak (Vasitəçi),(010) 514-81-48,24.12.2025,6091406,226,Bəli,Bəli,40.35551114211321,50.06920247169136,2026-01-01T15:02:28.340777
1,https://arenda.az/satilir-3-otaqli-kohne-tikili-yasamal-rayonu-elmler-akademiyasi-metrosu-zahid-xelilov-kucesi-yasamal-parkinin-yani-1,Satılır Köhnə Tikili,Köhnə Tikili / Eksperimental,230 000,230 000,"Nizami m., Yasamal r.",Zahid Xəlilov küçəsi Yasamal Parkının yanı,3,90,3,9,"Şpx təcili dəyərindən aşağı qiymətə satılır. Yasamal rayonu ,Akim Abbasov küçəsi Yasamal Parkının yanı., 9 mərtəbəli ekisprimental lahiyəli binanın 3 cü mərtəbəsində umumo 90 kv sahəsi olan 3 otaqlı yevro təmirli mənzil satılır. Mənzil orta blokdur, tam yel çəkəndir.Mənzilin təmiri zamanı tap padmayak edilib sonra sıfırdan tam yevro tıəmir edilib, təmir satış üçün edilməyib.Təmir zamanı yüksək keyfiyətli materyallardan istifadə edilib. Mənzildə yaşamaq üçün hər şərait sahibi tərəfindən nəzərə alınıb. Mənzi bütün mebel və aksesuarla birgə satılır, yəni satış zamanı mənzildən heçnə çıxarılmayacaq. Mənziln ətraflında məktəb, baxça və bütün iaşə abyektləri mövcutdur. Binada su, qaz, işıq daimidir. Mənzillin sənədi KUPÇA (Çıxarış) . İPOTEKAYA YARARLIDIR.","Təmirli, Qaz, Su, İşıq, Lift",Elan sahibi (Vasitəçi),(070) 798-09-90,24.12.2025,3407296,101,Bəli,Xeyr,40.38558883431559,49.81104521842598,2026-01-01T15:02:28.878489
7,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-rahat-nefes-y-k-azadliq-kuc-7,Satılır Yeni Tikili,Yeni Tikili,115 000,115 000,"Masazır, Abşeron r.","Masazir qesebesi,,Rahat Nefes,,y/k.Azadliq kuc 7",3,84,7,8,"TECILI...KUPCA... QAZ...IPOTEKAYA YARARLI...Masazirda duz golunun yaninda inwa edilmiw RAHAT NEFES yawayiw kompleksinde 8 mertebeli binanin 7ci mertebesinde sahesi 84kv olan qanuni 3 otaqli ela temirli menzil satilir.pol parket,yelceken 2 balkonu var.binalar daw binalardir.qonwudan ses kecmir.qaz lift var,su fasilesizdir.kompleksin erazisinde yawayiw ucun zeruri olan her werait var","Təmirli, Qaz, Su, İşıq, İnternet, Kabel TV, Lift, PVC pəncərə, Balkon, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Əşyalı, Avtodayanacaq",Retro Emlak (Vasitəçi),(070) 377-77-64,24.12.2025,7758391,185,Bəli,Xeyr,40.48212595258479,49.77896493347884,2026-01-01T15:02:29.459991
kuc,https://arenda.az/satilir-3-otaqli-yeni-tikili-nesimi-rayonu-28-may-metrosu-nesimi-r-kaverockin-kuc,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.",Nəsimi r. Kaveroçkin küç,3,110,12,18,"PREMIUM BİNADA PREMIUM MƏNZİL – 28 MAY METROSUNA 1 DƏQİQƏ Ünvan: 28 May metrosundan cəmi 1 dəqiqə piyada Sahə: 110 kv.m Otaq sayı: 3 otaq Təmir: Çox super təmirli Bina: Bakı şəhərinin ən premium, ən bahalı və tam infrastrukturlu yaşayış komplekslərindən biri Parkinq: Yeraltı geniş parkinq Həyətyanı sahə: Böyük həyət, futbol meydançası və istirahət zonaları Təhlükəsizlik: 24/7 mühafizə və kamera sistemi Lift: Schlinder markalı sürətli, yeni nəsil liftlər Mənzil: Tam əşya və avadanlıqlarla birlikdə satılır Qiymət həqiqətən çox yaxşıdır. Real alıcı ilə razılaşma mümkündür.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, Lift, PVC pəncərə, Balkon, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Əşyalı, Avtodayanacaq, Hovuz",Elan Sahibi (Vasitəçi),(070) 298-09-90,24.12.2025,3326020,102,Bəli,Bəli,,,2026-01-01T15:02:30.005030
124,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-qesebesi-qurtuluw-93-y-k-istiqlaliyyet-kucesi-44-124,Satılır Yeni Tikili,Yeni Tikili,115 000,115 000,"Masazır, Abşeron r.","Masazir qesebesi,,Qurtuluw 93,,y/k.istiqlaliyyet kucesi 44",3,92,1,5,"KUPCALI....Masazirda Qurtuluw 93 yawayiw kompleksinde 5 mertebeli binanin 1ci mertebesinde sahesi 92kv olan 3 otaqli ela temirli menzil satilir.istilik sistemi merkezidir,su fasilesizdir.kompleksde yawayiw ucun zeruri olan her werait var","Təmirli, İşıq, İnternet, Kabel TV, PVC pəncərə, Balkon, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli",Retro Emlak (Vasitəçi),(070) 377-77-64,24.12.2025,4829018,168,Bəli,Xeyr,40.49366796388669,49.752579545236536,2026-01-01T15:02:30.624420
78,https://arenda.az/satilir-obyekt-bineqedi-rayonu-8-ci-mikrorayon-ataturk-pr-12-78,Satılır Obyekt,Obyekt,600 000,600 000,"Nizami m., Kubinka, Zabitlər parkı, Nəsimi r.",Ataturk pr 12/78,,120,,,Diqqet ile oxuyun Tecili variant Real alici narahat etsin real alici ucun başqa obyektler de teklif edile biler Alici ucun xidmet haqqi 1% teşkil edecek melumat Bineqedi r-nu Ataturk pr Yeni tikili binanin 1 ci mertebesinde sahesi 120 kv sened Qeyri YaşayişKupca Hazirda real ve uzun mudetli icarede olan obyekti Merkezi kucenin uzerinde yerleşir qarşisinda AzParking var ve s ustunlukleri var Daha etrafli melumat ucun elaqe saxlaya bilersiniz,"Təmirli, Su, İşıq, İnternet, Kondisioner",Ekskluziv Emlak (Vasitəçi),(055) 757-29-65,24.12.2025,1539447,88,Bəli,Bəli,40.4128718756707,49.84651475043795,2026-01-01T15:02:30.996136
yaninda,https://arenda.az/kiraye-ayliq-4-otaqli-yeni-tikili-sabuncu-rayonu-bakixanov-qes-bakixanov-qesebesi-razinde-stimul-hospital-yaxinligi-serham-marketin-yaninda,Kirayə (aylıq) Yeni Tikili,Yeni Tikili,650,650,"Xalqlar dostluğu m., Nizami r.","Bakıxanov qəsəbəsi(Razində),Stimul hospital yaxınlığı,Sərham marketin yanında",4,138,12,19,,"Təmirli, Əşyalı",İnvest Home Əfsanə xanım (Vasitəçi),(055) 440-05-48,24.12.2025,3891192,111,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:32.320756
yani,https://arenda.az/satilir-1-otaqli-yeni-tikili-nesimi-rayonu-28-may-metrosu-azadliq-prasbekti-28-may-metronun-yani,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.","Azadlıq prasbekti, 28 may metronun yanı",1,50,6,16,,"Təmirli, Qaz, Su, İşıq, Lift",Elan sahibi (Vasitəçi),(070) 798-09-90,24.12.2025,5764749,104,Bəli,Bəli,40.38444042482525,49.845053280518876,2026-01-01T15:02:32.909277
14,https://arenda.az/kiraye-ayliq-obyekt-sabuncu-rayonu-balaxani-qes-balaxani-qesebesi-14,Kirayə (aylıq) Obyekt,Obyekt,800,800,"Həzi Aslanov m., Əhmədli, Xətai r.",BALAXANI QESEBESI,,1000,,,"VASITECIYEM XIDMET HAQQI 20%TESKIL EDIR(GOTUREN TEREFDEN) Sabuncu rayonu Balaxani qesebesinde 1000kvadratliq anbar icareye verilir.Anbarda 3faza iwiq var.Hundurluyu 5metrdi.Sekillerde gorunduyu kimidi.Saxlanqica verilir. Telefonda deqiq unvan deyilmir.Saat 10-00dan 22-00a qeder zeng etmek olar.Watcap aktivdir. Baki seherinde torpaq,ofis ve obyektlerin alqi-satqisi,icaresi ile elaqeli muraciet ede bilersiz.","Təmirli, İşıq",Sebuhe xanim (Vasitəçi),(077) 322-22-97,23.12.2025,3488882,134,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:33.121314
2,https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-xirdalan-s-h-eliyev-prospekti-kohne-bazarla-uzbe-uz-2,Satılır Yeni Tikili,Yeni Tikili,136 000,136 000,"Masazır, Abşeron r.","Xırdalan ş, H.Əliyev prospekti, Köhnə bazarla üzbə-üz",3,101,14,16,"Xırdalan ş, H.Əliyev prospekti, Köhnə bazarla üzbə-üz yerləşən 16 mərtəbəli binanın 14-cü mərtəbəsində sahəsi 101 m² olan 3 otaqlı super təmirli mənzil satılır. Mənzil şəxsi yaşayış üçün yüksək keyfiyyətli materiallarla yüksək zövqlə təmir olunub. Qaz, su və işıq daimidir. Lift fasiləsiz işləyir. İnfrastrukt olaraq çox əla yerdə yerləşir. Xırdalanın tam mərkəzindədir. Yaxınlıqda dayanacaq, məktəb, baxça, marketlər, bazar və s. bütün iaşə obyektləri yerləşir. Sənədi kupçadır.",,Xırdalan Əmlak (Vasitəçi),(055) 421-28-58,23.12.2025,2126755,112,Bəli,Xeyr,,,2026-01-01T15:02:33.820233
2,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-suvelan-suvelan-qesebesi-mayakda-2,Satılır Həyət evi/villa,Həyət evi/villa,130 000,130 000,"Qala, Xəzər r.","Şüvəlan qəsəbəsi, Mayakda",4,100,,,"HAZIR İPOTEKA !!! Xəzər rayonu, Şüvəlan qəsəbəsi, Mayakda, torpaq sahəsi 2.1 sot, ümumi sahəsi 100kv/m olan, 4 otaqlı həyət evi təcili olaraq satılır. Su, qaz, işıq daimidir. İstilik sistemi kombidir. Hərbir şərait vardır. Əlavə olaraq hovuzda mövcuddur. Sənəd çıxarışdır (kupça). Prestijli ərazidə və dənizə yaxın məsafədə yerləşir. İlkin ödəniş - 50.000 azn Aylıq ödəniş – 771 azn Qalıq borc – 98.000 azn Nəğd ödəniş – 148.000 azn Dövlət ipotekası 8% -lidir. Əlavə məlumat üçün aşağıdakı nömrə ilə əlaqə saxlaya bilərsiniz.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mətbəx mebeli, Hovuz",Ənvər Bəy (Vasitəçi),(055) 440-05-64,24.12.2025,3644038,1821,Bəli,Xeyr,,,2026-01-01T15:02:34.997508
70,https://arenda.az/satilir-6-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-bine-qesebesi-70,Satılır Həyət evi/villa,Həyət evi/villa,135 000,135 000,"Masazır, Abşeron r.",Binə qəsəbəsi,6,280,,,Sənət KUPÇA Şəkildə gördüyünüz evdi Binə Bolluqda Bravonun yanı 5 sot torpaqda inşa olunub 14 daş kürsüdə cüt daşla tikilib 280 kv 6 otaq 1 mətbəxt Tam təmirli evdi Qaz su işıq dayimi kombi var Reyal alıcıya endirim olacaq,"Təmirli, Qaz, Su, İşıq, PVC pəncərə, Balkon, Kombi, Mərkəzi qızdırıcı sistem, Avtodayanacaq",Firdovsi (Vasitəçi),(077) 391-44-69,23.12.2025,3517512,217,Bəli,Bəli,,,2026-01-01T15:02:35.362441
47,https://arenda.az/satilir-2-otaqli-yeni-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-avtovagzal-metrosu-kristal-abseron-47,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.","Biləcəri,Avtovağzal metrosu, Kristal Abşeron",2,48,9,17,"TƏCİLİ S A T L I R TAM ƏŞYALI Biləcəridə, Avtovağzal metrosuna 3-4 dəqiqəlik məsafə, Kristal Abşeron Kompleksi. 17/9-ci mərtəbə 50 kv 2 otaq (zal studia) Sənəd Çıxarış (Kupça) İpotekaya Yararlı Binada və mənzildə hər bir şərait yüksək səviyyədədir. Mənzil, işıqlı, gün görən və çox səliqəli mənzildir. Çox gözəl Mənzərəsi var. Mənzil bütün əşyaları ilə birlikdə satılır. Qeydiyyatda heç kəs yoxdur. Alqı Satqı günü açarlar təhvil veriləcək. Binanın yerləşməsi cox gözəldir. Avtovağzal metrosuna piyada 5-6 dəqiqəlik məsafədədir. Binanın Yerləşməsi ideal olduğu üçün Alıb kirayə vermək üçün də ideal təklifdir. Rahatlıqla 500 azn-ə kirayə vermək olar. Qiymət - 126500 azn (real alıcıya endirim olunacaq) Bu binada bu kvadratda bu qiymətə əşyalı mənzil yoxdur. Mənzilin açarları məndədir, istənilən vaxt mənzilə baxış keçirmək olar. Xidmət haqqı 1% təşkil edir.",,Şəhruz (Vasitəçi),(055) 547-11-57,24.12.2025,2971632,136,Bəli,Bəli,40.37336527040737,49.835700083690874,2026-01-01T15:02:35.961311
1,https://arenda.az/kiraye-ayliq-4-otaqli-ofis-sebail-rayonu-sahil-metrosu-sahil-metrosunun-yaninda-bulvar-1,Kirayə (aylıq) Ofis,Ofis,800,800,"28 May m., H. Əliyev ad. Saray, Nəsimi r.","Sahil metrosunun yanında, Bulvar",4,160,,,"Sahil metrosunun yanında, Bulvar 4 otaqlı ofis kirayə verilir. Yeni tikili ,sahəsi 160 kv.m., 5/12. əla təmrilidir. əşyasız. İnternet. İstilik sistmi var",,Qismət (Vasitəçi),(070) 228-23-32,23.12.2025,6578895,177,Xeyr,Xeyr,40.37102425249613,49.844407758936526,2026-01-01T15:02:36.191158
metrosu,https://arenda.az/kiraye-ayliq-5-otaqli-ofis-nesimi-rayonu-28-may-metrosu-merkezde-milli-bankin-yaninda-28-may-metrosu,Kirayə (aylıq) Ofis,Ofis,800,800,"28 May m., H. Əliyev ad. Saray, Nəsimi r.","Mərkəzdə, Milli Bankın yanında, 28 may metrosu",5,200,,,"Mərkəzdə, Milli Bankın yanında, 28 may metrosu 6 mərtəbəli binanın 3 mərtəbəsində sahəsi 200 kv.m. olan 5 otaqlı ofis kirayə verilir. Təmirlidir. Garajda 1 yer verilir ve komendanti var, binanin lifti var.",,Azər (Vasitəçi),(070) 228-23-32,23.12.2025,2327718,96,Xeyr,Xeyr,40.38142270696741,49.84213738532662,2026-01-01T15:02:36.597395
yaninda,https://arenda.az/kiraye-ayliq-1-otaqli-ofis-yasamal-rayonu-yeni-yasamal-qes-yeni-yasamal-ray-kohne-qismet-sadllq-sarayi-indiki-sizin-sarayin-yaninda,Kirayə (aylıq) Ofis,Ofis,9 000,9 000,Nərimanov r.,"Yeni Yasamal ray,köhnə Qismət şadllq sarayı,indiki Sizin sarayin yanında",1,15,,,"Yasamal rayonu,Yeni Yasamal ray,köhnə Qismət şadllq sarayı,indiki Sizin sarayin yanında yeni tikili 16 mərtəbəli binanın 1 ci mərtəbəsində ümumi sahəsi 15 kv.m olan 1 otaqlı Əla təmirli Ofis icarəyə verilir.Ofisdə kondisioner,dispender,internet (Citynet),Ofis mebelləri var.Ofis yenicə təmirdən çıxıb, Ofis mebelləri təzədir,istifadə olunmayıb.Ofisin SON Qiyməti 350 AZN dir.Makler haqqı 100 AZN dir.","Təmirli, İşıq, İnternet, Kabel TV, PVC pəncərə, Kondisioner, Əşyalı",Maqsud Allahverdiyev (Vasitəçi),(077) 366-88-99,23.12.2025,9673959,170,Xeyr,Xeyr,,,2026-01-01T15:02:36.794932
398,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-398,Satılır Yeni Tikili,Yeni Tikili,136 000,136 000,"Masazır, Abşeron r.",Abseron rayon Masazir qesebesi Qurtulus 93,3,65,3,6,"Abseron rayon Masazir qesebesi Qurtulus 93 yasayis kompleksi.Bina 6 mertebelidir, Menzil ise 3 cu mertebesinde yerlesir. Sehercikde mekteb bagca fealiyet gosterir. Su, isiq, merkezlesmis istilik sistemi daimidir. Qaz inda xetleri cekilib yaxin vaxtlarda verilecek. Senedleri tam qaydasindadir(Kupca var).",,RA Əmlak Abşeron (Vasitəçi),(050) 478-73-07,22.12.2025,3094172,125,Bəli,Xeyr,,,2026-01-01T15:02:37.513376
28,https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yasamal-r-a-m-serifzade-kuc-28,Satılır Yeni Tikili,Yeni Tikili,269 000,269 000,"Elmlər akademiyası m., Yasamal qəs., Yasamal r.",Yasamal r.A.M.Şərifzadə küç.,2,74,11,17,"2 ot.17/11 mər.74 kv. Yasamal r.A.M.Şərifzadə küç.Kristalda əla zövqlə təmir olunub, bahali əşyalar. Mətbəxin arasi açilib zövqlü və bahali mebülə yiğilib. Ətrafda məktəb və baxçalar. Q.255 000 azn.","Təmirli, Qaz, Su, İşıq, İnternet, Kabel TV, Lift, PVC pəncərə, Balkon, Kombi, Kondisioner, Mətbəx mebeli, Əşyalı",Mehman (Vasitəçi),(070) 254-20-00,22.12.2025,2021117,148,Bəli,Bəli,40.38402808832397,49.80528859019202,2026-01-01T15:02:38.219931
kesismesi,https://arenda.az/kiraye-ayliq-9-otaqli-ofis-nerimanov-rayonu-ehmed-bey-agaoglu-ve-eliesrefelizade-kucesinin-kesismesi,Kirayə (aylıq) Ofis,Ofis,9 000,9 000,Nərimanov r.,Əhməd bəy Ağaoğlu və ƏliəşrəfƏlizadə küçəsinin kəsişməsi,9,470,,,"ADA universistetinin yaxınlığında , Əhməd bəy Ağaoğlu küçəsi ilə Əliəşrəf Əlizadə küçəsi ilə kəsişmədə Aybir MTK-ın 2ci mərtəbəsində 9 otaqlı ofis. Ofis, kurs və s. biznəslər üçün tam uyğun təmirli. Ofisin Lahiyəsi şəkil kimi əlavə edilib. Mərkəzi kondisoner, mətbəx, müdir otağı və s. mövcuddur.","Təmirli, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Kondisioner, Mətbəx mebeli",Orxan (Əmlak sahibi),(055) 471-08-09,18.12.2025,1471530,190,Xeyr,Xeyr,40.391560284122754,49.85819483328542,2026-01-01T15:02:38.310984
